,meta_portfolio
2018-07-25,0.007991030274774014
2018-07-26,-0.002662296284973626
2018-07-27,-0.005761490198298622
2018-07-30,-0.005052048373799283
2018-07-31,0.00428869583570278
2018-08-01,-0.0009134081835467367
2018-08-02,0.00432532166817712
2018-08-03,0.00407750136362287
2018-08-06,0.003106494129917394
2018-08-07,0.0024795764890190508
2018-08-08,-0.00023036445063613138
2018-08-09,-0.0012657618320582064
2018-08-10,-0.0062458537069869716
2018-08-13,-0.003517182368493321
2018-08-14,0.005609640061873751
2018-08-15,-0.006674551243644864
2018-08-16,0.006953084929318561
2018-08-17,0.002917630261345477
2018-08-20,0.0021317518638082223
2018-08-21,0.0018161343120148095
2018-08-22,-0.0003495694258472432
2018-08-23,-0.0014848948904247071
2018-08-24,0.0054424593720067025
2018-08-27,0.00673446865342299
2018-08-28,0.00023642107581924558
2018-08-29,0.005005747058112552
2018-08-30,-0.0038897417955223237
2018-08-31,0.00011806860830087656
2018-09-04,-0.001452462315913876
2018-09-05,-0.002461090110662296
2018-09-06,-0.003206652049867247
2018-09-07,-0.0019432732369026673
2018-09-10,0.0016662546244215518
2018-09-11,0.003283507308958396
2018-09-12,0.00031315095198331856
2018-09-13,0.0046377154360090645
2018-09-14,0.0002418676377446566
2018-09-17,-0.004890106619775322
2018-09-18,0.004713889285906747
2018-09-19,0.0011003488083355763
2018-09-20,0.006883885516432714
2018-09-21,-0.0003235647380576825
2018-09-24,-0.0030867047246456386
2018-09-25,-0.0011458487253956982
2018-09-26,-0.00288792150662917
2018-09-27,0.0024261117280770994
2018-09-28,-6.031830745172213e-06
2018-10-01,0.0031968186985525384
2018-10-02,-0.0003482862023794623
2018-10-03,0.0002922622192173873
2018-10-04,-0.003355677825308659
2018-10-05,-0.00227065987859859
2018-10-08,-0.0001622972003335695
2018-10-09,-0.0005824148541253922
2018-10-10,-0.013499235323850549
2018-10-11,-0.008450521420572291
2018-10-12,0.005835305233889587
2018-10-15,-0.0024255156151949146
2018-10-16,0.008829483418541628
2018-10-17,-0.00010378300249025069
2018-10-18,-0.005911593016346418
2018-10-19,-0.0001483533187731532
2018-10-22,-0.0017660640740246652
2018-10-23,-0.0022640266470830665
2018-10-24,-0.012677804106915281
2018-10-25,0.007650378731820179
2018-10-26,-0.0071173072334988
2018-10-29,-0.002694406075133157
2018-10-30,0.006435250639274703
2018-10-31,0.004457268231945219
2018-11-01,0.004336715658826345
2018-11-02,-0.0025946276086120717
2018-11-05,0.0023003734351326644
2018-11-06,0.002571053975245451
2018-11-07,0.008711701070117723
2018-11-08,-0.001030556739021974
2018-11-09,-0.003778565770132152
2018-11-12,-0.00809253857207163
2018-11-13,-0.0006087099340860774
2018-11-14,-0.003108372257771365
2018-11-15,0.004351465833824971
2018-11-16,0.0009132398362635853
2018-11-19,-0.006836285109495254
2018-11-20,-0.007455762050824705
2018-11-21,0.0012500551265004092
2018-11-23,-0.0026924520253341494
2018-11-26,0.006380040003788339
2018-11-27,0.001339765183724519
2018-11-28,0.009436739183220622
2018-11-29,-0.0008967284720758225
2018-11-30,0.003356197523214828
2018-12-03,0.00449427510170017
2018-12-04,-0.013294133382236631
2018-12-06,-0.0006252669424439518
2018-12-07,-0.009578918494692033
2018-12-10,0.0007238183330229878
2018-12-11,-0.00014637193499497485
2018-12-12,0.002226102899376495
2018-12-13,-8.212292117589194e-05
2018-12-14,-0.00784001303778396
2018-12-17,-0.008532867226354013
2018-12-18,3.548970657128225e-05
2018-12-19,-0.006323908389969511
2018-12-20,-0.006478514218556635
2018-12-21,-0.00845677343725858
2018-12-24,-0.011136567451339514
2018-12-26,0.020371012035014263
2018-12-27,0.0035171871186976604
2018-12-28,-0.0005099895832067699
2018-12-31,0.0034883533025984416
2019-01-02,0.0005210448874114572
2019-01-03,-0.010169017792528465
2019-01-04,0.018536861477536887
2019-01-07,0.003784731468089685
2019-01-08,0.005234204598151631
2019-01-09,0.002212416477589895
2019-01-10,0.0024393639086434794
2019-01-11,-7.89819829924113e-05
2019-01-14,-0.0028383861167988428
2019-01-15,0.005788330281674396
2019-01-16,0.0011995858431086087
2019-01-17,0.004098377994174025
2019-01-18,0.007117149905376372
2019-01-22,-0.007643121047548393
2019-01-23,0.0011892890352771983
2019-01-24,0.0007427145261945028
2019-01-25,0.004582800957149948
2019-01-28,-0.004236275720694875
2019-01-29,-0.0007861855029384236
2019-01-30,0.008394597250921067
2019-01-31,0.0046414859695747155
2019-02-01,0.0004851336572516222
2019-02-04,0.0036582946015022437
2019-02-05,0.002541940286212827
2019-02-06,-0.001200909872854448
2019-02-07,-0.005051649935918314
2019-02-08,0.0003650614530767572
2019-02-11,0.00038282429969611654
2019-02-12,0.006959060353930582
2019-02-13,0.0016325674554051987
2019-02-14,-0.001431544754684512
2019-02-15,0.005873124594978899
2019-02-19,0.0008091282686043972
2019-02-20,0.0009594108122029507
2019-02-21,-0.0019038214576926184
2019-02-22,0.003461169171840958
2019-02-25,0.0006650470524781484
2019-02-26,-0.0004267449756522317
2019-02-27,-0.00029371656429066456
2019-02-28,-0.0015254104010331124
2019-03-01,0.0037225846036427076
2019-03-04,-0.002095001545181622
2019-03-05,-0.0006108819174879692
2019-03-06,-0.0035221725910227434
2019-03-07,-0.004386840418458133
2019-03-08,-0.0011508372932852334
2019-03-11,0.007917772772636176
2019-03-12,0.001594411271993073
2019-03-13,0.0037518797504159053
2019-03-14,-0.00046862023471354715
2019-03-15,0.002691205221825847
2019-03-18,0.002000733785997113
2019-03-19,-7.048641636018953e-05
2019-03-20,-0.0015895715430598277
2019-03-21,0.005858941338616264
2019-03-22,-0.010243785654165978
2019-03-25,-0.0004529630411026214
2019-03-26,0.0038777464143824754
2019-03-27,-0.0025073369828323452
2019-03-28,0.0019378574926732877
2019-03-29,0.003635643443921588
2019-04-01,0.006245553361120428
2019-04-02,9.423832585424426e-06
2019-04-03,0.0011598466807103956
2019-04-04,0.0011254343212438946
2019-04-05,0.00010842580117934476
2019-04-08,2.4495488306456713e-05
2019-04-09,-0.00014189204791807903
2019-04-10,8.133214249187164e-05
2019-04-11,8.915311164058267e-07
2019-04-12,0.0001545630677902627
2019-04-15,-1.4718179515650734e-05
2019-04-16,1.1911646819051094e-05
2019-04-17,-5.3174472007272314e-05
2019-04-18,3.692803369023445e-05
2019-04-22,2.3666646395564665e-05
2019-04-23,0.00020675697643079884
2019-04-24,-5.125571532950927e-05
2019-04-25,-8.628673356338203e-06
2019-04-26,0.00010956840728549395
2019-04-29,2.5058197970995774e-05
2019-04-30,2.2249465608119724e-05
2019-05-01,-0.00017544264804230563
2019-05-02,-4.967069999263431e-05
2019-05-03,0.00022539702733201904
2019-05-06,-0.00010455678459590496
2019-05-07,-0.00038613501364853555
2019-05-08,-3.7543847705960186e-05
2019-05-09,-7.065786054230366e-05
2019-05-10,8.70014148823396e-05
2019-05-13,-0.0005643077613422748
2019-05-14,0.0001874577401137392
2019-05-15,0.00013654798460528152
2019-05-16,0.000208021701287663
2019-05-17,-0.00013650959189350398
2019-05-20,-0.0001578383089333717
2019-05-21,0.00019868028422516176
2019-05-22,-6.605022424172155e-05
2019-05-23,-0.0002786196451457657
2019-05-24,3.16538009017454e-05
2019-05-28,-0.000195870300680027
2019-05-29,-0.00016163927339490685
2019-05-30,4.9074030199429896e-05
2019-05-31,-0.0003085818213093669
2019-06-03,-6.466682715095082e-05
2019-06-04,0.0005012090253835658
2019-06-05,0.00019086993980892922
2019-06-06,0.00014348442906403662
2019-06-07,0.00024549504206302936
2019-06-10,0.00010897797507151161
2019-06-11,-8.182162179331227e-06
2019-06-12,-4.765002784044045e-05
2019-06-13,9.581976891162905e-05
2019-06-14,-3.768618633659637e-05
2019-06-17,2.1789522890768666e-05
2019-06-18,0.00022724730812793948
2019-06-19,6.980986573275642e-05
2019-06-20,0.00022151281364654954
2019-06-21,-2.9447691125499025e-05
2019-06-24,-4.05012314353472e-05
2019-06-25,-0.0002220790295764921
2019-06-26,-2.8856291613581897e-05
2019-06-27,8.940728638764971e-05
2019-06-28,0.00013464153258945888
2019-07-01,0.0001794214275344418
2019-07-02,6.847600537542833e-05
2019-07-03,0.00017942324321370369
2019-07-05,-4.223210760554558e-05
2019-07-08,0.00019603157346353994
2019-07-09,-5.013069871046271e-05
2019-07-10,-0.00018286583475954127
2019-07-11,-9.264434742341975e-05
2019-07-12,-0.00018730441438746467
2019-07-15,-7.129833644173047e-06
2019-07-16,0.00013799105124600176
2019-07-17,0.00026478020241852904
2019-07-18,-0.00014521615803208036
2019-07-19,0.0002504082109069435
2019-07-22,-0.00011467684587585859
2019-07-23,-0.00027760070944142924
2019-07-24,-0.00019006009356938415
2019-07-25,0.0002133406389501955
2019-07-26,-0.00029950105578827827
2019-07-29,6.551817402893062e-05
2019-07-30,0.00010454008690001743
2019-07-31,0.00044130520886301837
2019-08-01,0.00036481604720415835
2019-08-02,0.0002952462776096886
2019-08-05,0.0012072091821613094
2019-08-06,-0.0005277170273149077
2019-08-07,-3.108958379748018e-05
2019-08-08,-0.0007606340878129497
2019-08-09,0.00026824085663791565
2019-08-12,0.0004993510079447116
2019-08-13,-0.0006134469575781103
2019-08-14,0.0011875442957977522
2019-08-15,-9.990277965243421e-05
2019-08-16,-0.0005848430190041822
2019-08-19,-0.000490778437743482
2019-08-20,0.00032086740511673493
2019-08-21,-0.0003343297456637343
2019-08-22,2.0516552857274993e-05
2019-08-23,0.0010518787463448852
2019-08-26,-0.0004452563565831454
2019-08-27,0.00012985870272845025
2019-08-28,-0.00026535736185089834
2019-08-29,-0.0005143497794112485
2019-08-30,-2.6058948617132166e-05
2019-09-03,0.0002796933248423448
2019-09-04,-0.0004395438476736684
2019-09-05,-0.0005274249923458811
2019-09-06,-3.691643319745196e-05
2019-09-09,3.8112275736008818e-06
2019-09-10,-1.306639561098207e-05
2019-09-11,-0.0002930952472398709
2019-09-12,-0.00011672244845662132
2019-09-13,2.936815621568513e-05
