fecha_rebalanceo,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2007-01-04,1.2514748233562774,-1.205318432156331,-8.521928937142702e+16,-9.222210037223474e+16
2007-02-05,1.405716077522042,-9002129891901108.0,-8.59028588627231e+16,-9.222210037223474e+16
2007-03-07,1.2433560677070876,-8127500428554106.0,-8.651682409946077e+16,-9.222210037223474e+16
2007-04-05,1.169637036823786,-7340867336509076.0,-8.706901836322923e+16,-9.222210037223474e+16
2007-05-07,1.1806238164378242,-6632595090971841.0,-8.756620552091072e+16,-9.222210037223474e+16
2007-06-06,1.3889005506839853,-5994301188320803.0,-8.80142698538337e+16,-9.222210037223474e+16
2007-07-06,1.4550649585636932,-5418646303266494.0,-8.841836336153358e+16,-9.222210037223474e+16
2007-08-06,1.240733953454833,-4899169287053321.0,-8.878302158836554e+16,-9.222210037223474e+16
2007-09-05,1.0612085094644488,-4430155734578562.0,-8.02835315902055e+16,-9.222210037223474e+16
2007-10-04,0.9749678678926875,-4006531962724176.0,-7.260659775138438e+16,-9.222210037223474e+16
2007-11-02,0.9394895008979801,-3623778438803852.0,-6.567031684616175e+16,-9.222210037223474e+16
2007-12-04,0.8359300862577552,-3277858263188471.5,-6.820490823339692e+16,-9.222210037223474e+16
2008-01-04,0.5896263053134256,-2965157435633290.0,-7.049609816729631e+16,-9.222210037223474e+16
2008-02-05,0.3357625732579865,-2682434450827946.0,-6.377440877182859e+16,-9.222210037223474e+16
2008-03-06,0.09466100531041563,-2426777364829036.5,-5.769620637516739e+16,-9.222210037223474e+16
2008-04-07,0.04586712545815453,-2195566912669201.2,-5.2199218411935176e+16,-9.222210037223474e+16
2008-05-06,0.14724652876999808,-1986444582399957.0,-5.601129915123432e+16,-9.222210037223474e+16
2008-06-05,0.2679574265899419,-1797284793207216.2,-5.945948370475918e+16,-9.222210037223474e+16
2008-07-07,0.03173525373406516,-1626170507261949.0,-6.257871766141529e+16,-9.222210037223474e+16
2008-08-05,-0.15822333122490165,-1471371742629120.0,-5.662171122018775e+16,-9.222210037223474e+16
2008-09-04,-0.36491293969658734,-1331326559438385.5,-5.123245594861712e+16,-9.222210037223474e+16
2008-10-03,-0.4535541569076219,-1204624172052316.0,-4.63566616257879e+16,-9.222210037223474e+16
2008-11-03,-0.5723109257748652,-1089989902320693.9,-4.194527575461237e+16,-9.222210037223474e+16
2008-12-03,-0.673055104102732,-986271737715291.0,-3.7953966288466584e+16,-9.222210037223474e+16
2009-01-05,-0.6752765829443974,-892428296542739.2,-3.4342658505372732e+16,-9.222210037223474e+16
2009-02-04,-0.6974852821001583,-807518033011116.8,-3.107511959455553e+16,-9.222210037223474e+16
2009-03-06,-0.8602904568270826,-730689539521242.1,-2.811858546668606e+16,-9.222210037223474e+16
2009-04-06,-0.8592712936021477,-661172823542337.1,-2.5443425068335576e+16,-9.222210037223474e+16
2009-05-06,-0.6681616985846572,-598271452845618.5,-2.302283811280551e+16,-9.222210037223474e+16
2009-06-05,-0.23947921403866662,-541355476485903.6,-2.0832582663495092e+16,-9.222210037223474e+16
2009-07-07,-0.13530407226751595,-489855040329162.6,-1.8850729444967068e+16,-9.222210037223474e+16
2009-08-05,0.027295763772472253,-443254625571234.9,-2.5830623566850336e+16,-9.222210037223474e+16
2009-09-03,0.15363616206813743,-401087846923010.75,-3.2146439680384424e+16,-9.222210037223474e+16
2009-10-05,0.5101975983174276,-362932754214958.6,-3.786137824254685e+16,-9.222210037223474e+16
2009-11-03,0.5486961012943294,-328407587304705.6,-4.3032619975602856e+16,-9.222210037223474e+16
2009-12-03,0.6967905152412628,-297166939516532.7,-4.771190051405339e+16,-9.222210037223474e+16
2010-01-05,0.8399567917198082,-268898289528458.2,-5.194602986483928e+16,-9.222210037223474e+16
2010-02-04,0.7957003623231379,-243318865752567.3,-5.5777362066107464e+16,-9.222210037223474e+16
2010-03-08,0.8028350559417055,-220172810909187.3,-5.924421988240213e+16,-9.222210037223474e+16
2010-04-07,0.8268468559789509,-199228617741892.97,-6.23812788878934e+16,-9.222210037223474e+16
2010-05-06,0.8974711841245395,-180276809712825.38,-6.5219914856013096e+16,-9.222210037223474e+16
2010-06-07,0.6782998754821995,-163127843101761.25,-5.901582158398394e+16,-9.222210037223474e+16
2010-07-07,0.45687973577686414,-147610209245786.16,-5.340190618096756e+16,-9.222210037223474e+16
2010-08-05,0.41460820434602985,-133568717731464.5,-4.832202440097433e+16,-9.222210037223474e+16
2010-09-03,0.46848121131903175,-120862943215462.44,-4.372537365352996e+16,-9.222210037223474e+16
2010-10-05,0.6160291391595086,-109365820226283.92,-4.833863903350289e+16,-9.222210037223474e+16
2010-11-03,0.708817486311228,-98962371809525.1,-5.251306323149939e+16,-9.222210037223474e+16
2010-12-03,0.9248468657244342,-89548559239673.81,-5.629039219135541e+16,-9.222210037223474e+16
2011-01-04,1.1295991009143482,-81030241248578.77,-5.970840046359088e+16,-9.222210037223474e+16
2011-02-03,1.2892184999594956,-73322232328055.0,-6.2801269065157144e+16,-9.222210037223474e+16
2011-03-07,1.3976134419177584,-66347450663855.96,-6.559992737424942e+16,-9.222210037223474e+16
2011-04-05,1.3970108897761266,-60036147161239.02,-6.813236248680146e+16,-9.222210037223474e+16
2011-05-05,1.319024630960235,-54325207838220.32,-7.042389913390924e+16,-9.222210037223474e+16
2011-06-06,1.129299364228141,-49157522599959.055,-7.24974529635679e+16,-9.222210037223474e+16
2011-07-06,1.027695096603681,-44481414074241.74,-7.43737597226581e+16,-9.222210037223474e+16
2011-08-04,0.6989134816514533,-40250120790663.2,-7.607158263331286e+16,-9.222210037223474e+16
2011-09-02,0.5280003308898528,-36421329531027.914,-6.883527613356682e+16,-9.222210037223474e+16
2011-10-04,0.2932267657687434,-32956752171312.97,-6.2287323537852184e+16,-9.222210037223474e+16
2011-11-02,0.30986633407320396,-29821742781273.19,-5.636224502415152e+16,-9.222210037223474e+16
2011-12-02,0.3631531870191759,-26984951150945.9,-5.100078958797358e+16,-9.222210037223474e+16
2012-01-04,0.5215942387316018,-24418009278036.293,-4.614934251243474e+16,-9.222210037223474e+16
2012-02-03,0.6270140070918014,-22095247680103.406,-5.053201070823544e+16,-9.222210037223474e+16
2012-03-06,0.7813645312393387,-19993438693962.43,-5.449777775269053e+16,-9.222210037223474e+16
2012-04-04,1.0554305334936176,-18091564194777.09,-5.808630138223605e+16,-9.222210037223474e+16
2012-05-04,1.0017471212010522,-16370605411642.375,-6.133346688206127e+16,-9.222210037223474e+16
2012-06-05,0.7763519527042835,-14813352737528.14,-6.427174594339039e+16,-9.222210037223474e+16
2012-07-05,0.6450034260835877,-13404233631467.887,-6.69305213836769e+16,-9.222210037223474e+16
2012-08-03,0.6166094591156335,-12129156891861.703,-6.933638097720983e+16,-9.222210037223474e+16
2012-09-04,0.7897272135168295,-10975371743504.57,-7.151338333465842e+16,-9.222210037223474e+16
2012-10-03,0.9002734835286468,-9931340329127.531,-7.348329849051363e+16,-9.222210037223474e+16
2012-11-05,0.8713267055641123,-8986622330300.012,-7.526582560442218e+16,-9.222210037223474e+16
2012-12-05,0.7885466067255013,-8131770563857.765,-7.687878995351573e+16,-9.222210037223474e+16
2013-01-07,0.7268484295836545,-8779978493805676.0,-7.83383211857252e+16,-9.222210037223474e+16
2013-02-06,0.8442579907438271,-7944783712560128.0,-7.965901461666232e+16,-9.222210037223474e+16
2013-03-08,1.0753288571673225,-7189036772847909.0,-8.085407718307378e+16,-9.222210037223474e+16
2013-04-09,1.2462004724563367,-6505180204129902.0,-8.193545951242952e+16,-9.222210037223474e+16
2013-05-08,1.3687415638492415,-5886375439872810.0,-8.291397542936107e+16,-9.222210037223474e+16
2013-06-07,1.4130279390238627,-5326434431807166.0,-8.379941009402906e+16,-9.222210037223474e+16
2013-07-09,1.4123948315841957,-4819757769387839.0,-8.460061785381462e+16,-9.222210037223474e+16
2013-08-07,1.3780034353375703,-4361278685646501.5,-8.532561078685982e+16,-9.222210037223474e+16
2013-09-06,1.2594235317454687,-3946412389490767.5,-8.598163882289829e+16,-9.222210037223474e+16
2013-10-07,1.18206766496133,-3571010217770168.0,-8.657526224258912e+16,-9.222210037223474e+16
2013-11-05,1.205652024581228,-3231318148627529.5,-8.711241728035058e+16,-9.222210037223474e+16
2013-12-05,1.3587555693035072,-2923939261267723.0,-8.759847548672424e+16,-9.222210037223474e+16
