,momentum_126d,olps_rmr,xgboost_trend,hmm_garch
2009-04-22,-0.007681664273476052,0.007681664273476052,0.007681664273476052,0.0
2009-04-23,0.009922346320087705,-0.009922346320087705,-0.009922346320087705,0.0
2009-04-24,0.016797349335216705,-0.016797349335216705,-0.016797349335216705,0.0
2009-04-27,-0.0100665768903615,0.0100665768903615,0.0100665768903615,0.0
2009-04-28,-0.0027405354973477625,0.0027405354973477625,0.0027405354973477625,0.0
2009-04-29,0.021610040324914648,-0.021610040324914648,-0.021610040324914648,0.0
2009-04-30,-0.0009500676204463598,0.0009500676204463598,0.0009500676204463598,0.0
2009-05-01,0.005396388659423046,-0.005396388659423046,-0.005396388659423046,0.0
2009-05-04,0.03386813980494785,-0.03386813980494785,-0.03386813980494785,0.0
2009-05-05,-0.0037917226736418064,0.0037917226736418064,0.0037917226736418064,0.0
2009-05-06,0.01740433914180306,-0.01740433914180306,-0.01740433914180306,0.0
2009-05-07,-0.013202412386380091,0.013202412386380091,0.0,0.0
2009-05-08,0.024068995104353563,-0.024068995104353563,0.0,0.0
2009-05-11,-0.02151242496964101,0.02151242496964101,0.0,0.0
2009-05-12,-0.0009788555914792552,0.0009788555914792552,0.0,0.0
2009-05-13,-0.02689491201893024,0.02689491201893024,0.0,0.0
2009-05-14,0.010351643351174777,-0.010351643351174777,0.0,0.0
2009-05-15,-0.01141008247711417,0.01141008247711417,0.0,0.0
2009-05-18,0.030389200051489373,-0.030389200051489373,0.0,0.0
2009-05-19,-0.0017368359715522752,0.0017368359715522752,0.0,0.0
2009-05-20,-0.005131461524926495,0.005131461524926495,0.0,0.0
2009-05-21,-0.016757561517510733,0.016757561517510733,0.0,0.0
2009-05-22,-0.00149721056843366,0.00149721056843366,0.0,0.0
2009-05-26,0.02630216131887675,-0.02630216131887675,0.0,0.0
2009-05-27,-0.018971163431981575,0.018971163431981575,0.0,0.0
2009-05-28,0.015418918738823617,-0.015418918738823617,0.0,0.0
2009-05-29,0.013574757481119137,-0.013574757481119137,0.0,0.0
2009-06-01,0.025817590454732198,-0.025817590454732198,0.0,0.0
2009-06-02,0.0019833011198484574,-0.0019833011198484574,0.0,0.0
2009-06-03,-0.013739209309357014,0.013739209309357014,0.0,0.0
2009-06-04,0.011483656837475431,-0.011483656837475431,0.0,0.0
2009-06-05,-0.002514690344346815,0.002514690344346815,0.0,0.0
2009-06-08,-0.001010554499986549,0.001010554499986549,0.0,0.0
2009-06-09,0.0035031816087351952,-0.0035031816087351952,0.0,0.0
2009-06-10,-0.0034803309393901527,0.0034803309393901527,0.0,0.0
2009-06-11,0.006111899148334876,-0.006111899148334876,0.0,0.0
2009-06-12,0.0013969957389272647,-0.0013969957389272647,0.0,0.0
2009-06-15,-0.023768561680042266,0.023768561680042266,0.0,0.0
2009-06-16,-0.012720305257724385,0.012720305257724385,0.0,0.0
2009-06-17,-0.0013815682214813885,0.0013815682214813885,0.0,0.0
2009-06-18,0.008410990281999098,-0.008410990281999098,0.0,0.0
2009-06-19,0.003114197291689047,-0.003114197291689047,0.0,0.0
2009-06-22,-0.030600396251826645,0.030600396251826645,0.0,0.0
2009-06-23,0.0023067249051313965,-0.0023067249051313965,0.0,0.0
2009-06-24,0.006524440861084724,-0.006524440861084724,0.0,0.0
2009-06-25,0.021444277390130884,-0.021444277390130884,0.0,0.0
2009-06-26,-0.001477827284822375,0.001477827284822375,0.0,0.0
2009-06-29,0.009065138571521025,-0.009065138571521025,0.0,0.0
2009-06-30,-0.008530756458643096,0.008530756458643096,0.0,0.0
2009-07-01,0.004361930267673175,-0.004361930267673175,0.0,0.0
2009-07-02,-0.029144546025377416,0.029144546025377416,0.0,0.0
2009-07-06,0.0025657480163505664,-0.0025657480163505664,0.0,0.0
2009-07-07,-0.019683485382449017,0.019683485382449017,0.0,0.0
2009-07-08,-0.001668537608706111,-0.001668537608706111,0.0,0.0
